rating,review
4.7,"I have bought 3 cars from Mayse , and my father has bought 2 cars and a truck from them . All around great service . And John Kieny  is always great.  "
4.8,"Buy about 12 trucks a year based on need from all over the country.  Absolute best experience on a used truck I could have asked for.  I live 500 miles from this dealership, truck was as described, at a fair price, with great follow up from the sales people post sale.  A genuinely good car buying experience.  "
4.7,"I have been very pleased every time I have had my Sonata Hybrid in for service and maintenance.  They are efficient, friendly and helpful with any questions I may have."
4.8,Received excellent customer service from Romel Howlader.  He answered all our questions and ensured that we were totally satisfied with our new 2020 Nissan Rogue!   Would recommend Romel to anyone looking to buy a new Nissan.
4.8,"We had previously purchased two pre-owned Subarus from Adventure Subaru buth this was our first new vehicle. Shannon, our salesperson,  was helpful but not pushy. She was knowledgeable and patient as we stumbled our way through the process. Speaking of which, was pleasant and unrushed all the way from the test drive through to financing. Would definitely recommend Shannon at Adventure Subaru to anyone in interest in purchasing a new Subaru. "
5,Thank you Robert Szyka & Corvette World Dallas for getting me into a 2018 Corvette Z06 Carbon 65 Edition. The 1st time I walked into Corvette World I went in only to ask questions and get info. Robert stopped what he was doing answered all my questions. There was never any pressure to make purchase. It was one car enthusiast (Robert) educating a long time admirer. He was so informative and genuine that after 30 minutes we where at his desk doing paper work. His informative approach & patience made me feel like this was the right decision and the right car for my wife and I. Thank you so much Robert! I'll definitely be back.
4.9,The best after sales service..Prompt service and follow up updates as you wait. The service team very professional and courteous. I can not hesitate to recommend this dealership any time 
4.7,Johnathan went above and beyond to help me get into my vehicle. Great customer service and made purchasing fun and easy!!! Way to go Johnathan!
4.8,The buying process was streamline and easy. It was the quickest process we ever experienced buying a vehicle and normally I don't like buying cars. Highly recommend Adam and thank you! 
5,New place is fantastic.  Alex was friendly and ensure all items were cared for.  The other staff were equally helping others in the facility.  Overall... A great experience. 
4.8,Saw an Audi on Selective’s website for a commuter. After walking though the heavy wrought iron doors I could tell first glance I wanted to be part of the Selective group. Thanks to Darrell and all the people behind the closed doors that made my Audi look beautiful 
4.9,"After speaking with Guy via text, we decided to drive to Perry from Yukon to look at a vehicle, we were greeted with nothing but honesty, smiles and a grateful attitude from every one. Julian was terrific with the knowledge of the vehicle, it was a pleasure dealing with him on a very easy transaction. everything from beginning to sitting in the finance office with Rick was a great buying experience. We are looking at another vehicle in the future and Vance will be our first dealership to visit."
5,"This was our first dealership experience and I'm so glad we chose this dealership to do business! We had originally gone down the road to the Ford dealership but the salesman there didn't listen to our needs and price range. We politely declined and decided to see what Clint Bowyer had to offer. David came out to greet us. He was very nice and listened to us, and didn't try to push a car on us we weren't interested in. Once we found a car and sat down to discuss the details, we understood why David's nickname is ""Simple"". Everything was straight-forward and honest, and he was very happy to answer any questions we had. I would definitely recommend this dealership!"
4.7,"Easiest and quickest car buying experience we have ever had by far! I loved that our salesman Mark was the only person we dealt with through the whole process. He was kind, honest, funny and genuine. And I love my new car! "
4.7,"I’m only giving it 1 star because the only thing they did right was my oil change. I needed new tires. I went to Doenges in May of 2019. I was told multiple times by their front service cashier, Olivia, that these exact tires were covered by road hazard warranty. And she AGAIN told me this when I was getting in my car to leave with the four new tires on my car. She also told me that as long as I went to Doenges it would be covered. Fastforward to today,  March 13 of 2020. My tire is needing to be aired up twice a week. I go to Doenges after I get off work. I just wanted them to patch my tire. ONLY to find out that there are MULTIPLE small holes in it and they’re not able to patch, or fix it. They REFUSED. They gave me a price for ONE new tire instead. When I asked about my warranty they couldn’t even pull up my receipt from the sale of the tires. They only were able to look at the part with the part Humber, as I’m told by Megan and Rich. Now I’m doing to have to buy ANOTHER tire for my car when the new tires are still NEW! IM FURIOUS! But don’t take into account the fact that I was TOLD that I had the warranty before I drove off their lot. And now they’re saying that they didn’t get my tires from a Toyota supplier and only Toyota vendor supplied tires are covered . I’m outraged, beyond livid. I will NEVER go back to Doenges. You have literally lost a customer. First of all, honesty is best. And if you can’t honor what you tell customers what makes us think that you’re being honest with your work? I will not be recommending this Toyota to anyone. Also, I have family who work in multiple Toyotas. So there’s that. I will be taking my car and my business elsewhere. What. A. Disgrace. You’re establishment is the worst and I hope many people see this and help them turn away from your business. Honestly, don’t trust this Toyota. Seriously."
5,Thank you Juan and Jesus for helping me get into a new Maxima. I love my new car. I'll be sure to send you all of my friends and family.
4.8,Always kind and  courteous and listens to my concerns. The price's are super fair with quality work no matter what the problem. Thank You
4.7,"I would like to thank Jerry Ernst for helping me get my dream car! I contacted him and that same day I purchased a car! Thank you so much for all your help and being very professional and polite and getting things done asap. 
1-12-2020
"
4.5,"Worst car buying experience ever! Wish negative stars was an option!
Not surprising that every one I dealt with is not listed. Every phone call/visit was one lie after another. "
4.6,Received great service from Daisy. Would purchase again. Would recommend adopting an easier way to check out. Less paperwork and more eletronic options. Also car delivery <U+0001F609>
4.6,"I received an email from Billy Bolding of a Truecar price and agreed to pay that price.
Then Billy comes out and says ""Someone got in our system and lowered the price we can't sell it for that price"" (I have it in writing from him). Then he says he can sell it for several thousand more do I still want it??? really??? why not what you put on paper? why not the truecar price we agreed to?"
4.8,"Great customer service, they found me a car that's affordable and reliable. I also love the look of the car. Great on gas too. Great experience!"
4.5,"Found a Mercedes GL350 online at Dallas Autos Direct. Was Pre-Approved by 2 finance companies before I went to test drive.. Sam made a copy of my Drivers License and sent me and my wife on a test drive.. Fell in love with the car, was ready to buy... I took my Pre-Approved offer in and JB (Hakem) looked at my interest rate and said oh no you can do better. He picked up the phone and made 2 phone calls, then he printed out a paper and told me to go .5 miles down the road to InTouch Credit Union and see Stella she will take care of me... Long story short I was ready to pay 550.00 a month for this vehicle, after the small detour I am now paying 350.00 a month with 1/4 of the interest rate..

So I am ready to give Dallas Autos Direct a 10 Star Review, however my wife is like no, not till be get the vehicle checked out.. So yesterday I took it to Park Place Mercedes for a B1 Service and check out.. Well of course after a 650.00 oil and filter change (it is a diesel) we pick it up today.. The service adviser tells me we have a real nice GL and we have nothing to worry about driving this cross country as we had asked him about..

Dallas Autos Direct will be my first call when I am looking for my next vehicle.. "
4.5,"Great guys,  not the quickest car deal I’ve ever had but it was simplified car buying.  Will do business there again in the future "
4.6,"Superb service and communication.  I bought my car from them.  Car exceeds my expectations.  I am very happy.  Al was super helpful and friendly, answering all my questions."
5,"I'm across the country and am so glad I took the leap and bought out of state, and even more glad to have done the deal with these guys. Extremely
 trustworthy, honest, knowledgeable and all of the good things you would want from the person selling you your vehicle. I'm utterly impressed with the condition of my AMG C63 and really the entire process. No complaints.
"
4.6,"Second car bought from these guys! Thank you so much Andre you were funny, honest and helpful. Than you again auto liquidators!!! Would recommend to anyone! It’s why I come back!"
4.8,They where very friendly and nice fast service. Zach is very great at his job would recommend to anyone anytime. Thanks for everything. Love my car.
5,"I had put off getting another vehicle because of all the hassles I had previously experienced over the years. Gave it another shot and wow, what a difference! Nick showed me exactly what I was looking for at an affordable price with no pressure!!  I was in and out in a flash, no hours of paper work!  So courteous and professional! I will not be hesitant again as long as Nick is there! Thank you Nick! LOVE MY JEEP!!"
4.7,"Thank You Mike, you were such a great help. We are very happy with our 535i. I will recommend you to all of our family and friends."
5,"One of the easiest car buying experiences ever.  I called to inquire about a car and spoke with Phil Lyon.  We live almost six hours away from the dealership and we were able to take care of almost everything over the phone.  We had the option of having the car shipped to us, but opted to drive and pick it up.  All the paper work and my car were ready when we arrived.  Phil was able to get me a great deal for my trade in and an even better deal on the car I wanted.  I would definitely recommend this dealership and Phil for your next vehicle purchase."
4.7,We bought a 2017 A3 worked with Derek on the purchase. We are out of town so most everything was taken care of over the phone. Derek was the upmost professional and came through with everything promised. Our experience was very good and would highly recommend Audi of Wichita.
4.5,20k dollar car they wanted 7k down. 12k dollar car they wanted 6k down? You specialize in bad credit? Who can't get you approved with half the cash price of the car as a down payment. But before this I was told I could pay 4800 for the 12k dollar car as down payment? I get a cosigner? Then they said my girlfriend can't co-sign for me after they told my girlfriend to co-sign and we could see if it lowers the high down payments. Overall received the run around from bo. Not to mention had two trade ins and make currently 17.50/hr with no bills when I applied made 13.50 before promotion? Girlfriend brings in 14/hr once again no bills. Then told she got approved by herself? Ain't that why she was my cosigner? Why would I want to make a huge payment for a car 100% in my girlfriend's name? While trading in two vehicles in my name? Plus making the huge payment? Ran my credit for no reason now and I visited based off the reviews. If you want to be approved give me half the cash for the car you want and I'll call your local bank and get you approved. Time wasted and very shady experience hearing multiple different things and asking multiple times for down payment. Bo is my bad review whole dealership shouldn't be punished for one shady dealer. 
4.4,I worked with Gabby. I was one of her first clients and she worked real hard to earn my business. She had the upmost professionalism at all times. She made sure all my questions got answered and made me feel good about the car i bought. I would reccomend her and her dealership to anyone looking for a car.
5,"We had an excellent experience with BBC Motorsports.  Their representatives are extremely professional and very knowledgeable. Their no haggle pricing is significantly better than any dealer we contacted and their inventory is excellent.  In addition, they worked with us to get the car exactly how we wanted it at NO price increase.  These are real car guys who understand their customers and go the extra to make the experience completely positive and worth while.  We worked with Jason and received excellent support and guidance, as well as great work from the supporting Techs.   Their facility is unique and very professional in appearance.  In every respect BBC Motorsports is a class act with the highest integrity, that I would not hesitate to recommend to anyone.   
Daniel and Colette"
5,This is the third car I have purchased from this organization. Two in Houston and the newest from the Dallas location. Ed and Bob both assisted in helping me choose a car and finalizing the deal. Both were extremely helpful. I highly recommend this dealership 
4.5,"Employees are friendly and knowledgeable. I always recommend Hillsboro Ford to friends.
I dealt with Chris, Sharon, Jeff and Matt. Thank you everyone at Hillsboro Ford."
4.6,"LOVE LOVE my new car!!! Greg Jones was the best!!Went over all options, friendly, professional, I knew that I could count on him. I would highly recommend him and this dealership!"
5,"Sam was my contact at European Motors. And he took care of everything. I bought 'long distance', which I was apprehensive about, but the experience was smooth, professional, VERY helpful, low pressure, and every step was explained fully and every question answered. And the car was exactly what I expected, and delivered to my front door in perfect condition and 'detailed' inside and out. Highly Recommended."
5,"We couldn't be happier with the car we purchased from Legacy Auto!  Our salesman, Christopher Allen, catered to our every need.  Every staff member we dealt with was extremely friendly and helpful.  Their car selection is reasonable, and we didn't feel pressured into something we weren't comfortable woth.  I would definitely recommend them. I absolutely love my new Maxima."
